!	1.55960010254
"	9.35760061523
"),	1.55960010254
",	3.89900025634
"caranguejos	1.55960010254
$	257.334016919
',	2.33940015381
'anna	1.55960010254
'os	1.55960010254
'trechos	1.55960010254
(1564-1616)	1.55960010254
(1980)	1.55960010254
(1994)	1.55960010254
(1996)	1.55960010254
(2	1.55960010254
(2002)	1.55960010254
(69%)	1.55960010254
(70%)	1.55960010254
(750	1.55960010254
(93)	1.55960010254
(95)	1.55960010254
(a	2.33940015381
(amido	1.55960010254
(aparentemente	1.55960010254
(arena-gb)	1.55960010254
(arena-mg)	2.33940015381
(arena-pe)	2.33940015381
(arena-rj)	1.55960010254
(arena-rs)	1.55960010254
(arena-sp)	1.55960010254
(até	1.55960010254
(bce)	1.55960010254
(coletânea	1.55960010254
(como	1.55960010254
(d	1.55960010254
(ed.	1.55960010254
(escrivão)	1.55960010254
(estado-maior	1.55960010254
(estes	1.55960010254
(iii)	1.55960010254
(inspira	1.55960010254
(l	1.55960010254
(lc	1.55960010254
(leia	3.11920020508
(lida	1.55960010254
(liturgia)	1.55960010254
(mdb-ac)	1.55960010254
(mdb-ba)	1.55960010254
(mdb-gb)	2.33940015381
(mdb-mg)	2.33940015381
(mdb-rj)	2.33940015381
(mdb-sp)	1.55960010254
(ou	1.55960010254
(outrora	1.55960010254
(oxford	1.55960010254
(para	1.55960010254
(pmdb)	1.55960010254
(psb)	1.55960010254
(pt	1.55960010254
(que	1.55960010254
(re)	1.55960010254
(re)construir	1.55960010254
(rt	1.55960010254
(sigla	1.55960010254
(souza	1.55960010254
(substância	1.55960010254
(textos	1.55960010254
(valor	1.55960010254
(veja	1.55960010254
(ver	1.55960010254
(wallac)	1.55960010254
)	1.55960010254
,	613.702640349
,"	1.55960010254
--	12.4768008203
.	240.178415791
.,	3.11920020508
...	4.67880030761
.o.)	1.55960010254
1	1.55960010254
1,4%	1.55960010254
1,5	1.55960010254
10	2.33940015381
11-32)	1.55960010254
110	1.55960010254
118/510	1.55960010254
12	1.55960010254
12,	1.55960010254
12,5%	1.55960010254
12h00,	1.55960010254
13	2.33940015381
130	1.55960010254
14	1.55960010254
15	3.11920020508
15,	1.55960010254
1515	1.55960010254
1534,	1.55960010254
16	1.55960010254
1637	1.55960010254
1638,	1.55960010254
17	1.55960010254
18	1.55960010254
1860	1.55960010254
1873	1.55960010254
1885	1.55960010254
19	1.55960010254
1958,	1.55960010254
1974	1.55960010254
1977	1.55960010254
1978,	1.55960010254
1983,	1.55960010254
1989,	1.55960010254
1994,	1.55960010254
1997)	1.55960010254
19h40	1.55960010254
1º	1.55960010254
2	2.33940015381
2,	1.55960010254
22	1.55960010254
2300	1.55960010254
23h45	1.55960010254
24%	1.55960010254
26	2.33940015381
27/9/94)	1.55960010254
28	1.55960010254
29	1.55960010254
2h	1.55960010254
2h20	1.55960010254
2º	1.55960010254
3	2.33940015381
30	2.33940015381
30º	1.55960010254
345	1.55960010254
350	1.55960010254
38	1.55960010254
4	1.55960010254
4%	1.55960010254
43	1.55960010254
460	1.55960010254
470	1.55960010254
492	1.55960010254
495-a/92,	1.55960010254
4º	1.55960010254
5	2.33940015381
5,2%	1.55960010254
500	2.33940015381
512)	1.55960010254
513/372	1.55960010254
570	1.55960010254
598	1.55960010254
5m	1.55960010254
6	3.11920020508
7	1.55960010254
71%	1.55960010254
723,	1.55960010254
8	2.33940015381
80	1.55960010254
86	1.55960010254
9	1.55960010254
995-1996)	1.55960010254
:	21.8344014355
:o	2.33940015381
;	8.57780056396
?	3.89900025634
UNK	0.779800051269
^	257.334016919
a	360.267623686
a.arta	1.55960010254
a.egera	2.33940015381
a.estória	1.55960010254
a.ilha	1.55960010254
a.inha	1.55960010254
a.iolência	1.55960010254
a.nvenção	1.55960010254
a.otija	1.55960010254
a.sperança	1.55960010254
a.ueda	1.55960010254
abaixo	1.55960010254
abaixo)	1.55960010254
abalaram	1.55960010254
abandonou	1.55960010254
abandoná-lo	1.55960010254
aberta	2.33940015381
abertamente	1.55960010254
abertura	1.55960010254
abjecção	1.55960010254
abortada	1.55960010254
aborto	1.55960010254
abras	1.55960010254
abraço	1.55960010254
abril	3.11920020508
absolvendo	1.55960010254
absolveu	1.55960010254
absolvição	1.55960010254
absorbância	1.55960010254
absorvância	2.33940015381
absorvâncias	1.55960010254
acabou	2.33940015381
académicas	1.55960010254
acadêmico	1.55960010254
acampamento	1.55960010254
acaso	1.55960010254
aceitasse	1.55960010254
aceitou	1.55960010254
acender	1.55960010254
acesas	1.55960010254
acesso	2.33940015381
acham-se	1.55960010254
acompanhavam	1.55960010254
acontecer	1.55960010254
acontecera	1.55960010254
acontecimento	1.55960010254
acontecimentos	1.55960010254
acordo	3.11920020508
acordos	1.55960010254
acredita	2.33940015381
acrescenta	1.55960010254
acrescida	1.55960010254
acta	1.55960010254
actores	2.33940015381
actuantes	1.55960010254
actuaram	1.55960010254
acusa	1.55960010254
acusadas	1.55960010254
acusado	2.33940015381
acusados	3.11920020508
acusam	1.55960010254
acusação	4.67880030761
acção	2.33940015381
acórdão	1.55960010254
adaptada	1.55960010254
adaptação	2.33940015381
aderbal	1.55960010254
aderidos	1.55960010254
adiciona-se	1.55960010254
adição	1.55960010254
administrador	1.55960010254
admirador	1.55960010254
admiração	1.55960010254
admitir	1.55960010254
adopção	1.55960010254
adquiriu	1.55960010254
advogado.	1.55960010254
advogados	1.55960010254
afastamento	1.55960010254
afastou	1.55960010254
aferida	1.55960010254
afiadas	1.55960010254
afirma	3.89900025634
afirmando	1.55960010254
afirmar	1.55960010254
